head_entity_id,tail_entity_id,relation
E0042440,E0041546,해당 개체의 자녀 (child)
E0044553,E0042299,Head가 Tail을 비난함. (Blames)
E0042299,E0044553,Head가 Tail을 비난함. (Blames)
E0010138,E0044553,Head가 Tail을 믿음. (Trusts)
E0014558,E0065230,Head가 Tail에게 지시함. (Commands)
E0014558,E0044900,Head가 Tail에게 지시함. (Commands)
E0065230,E0014558,Head가 Tail에게 지시함. (Commands)
E0065230,E0044900,Head가 Tail에게 지시함. (Commands)
E0044900,E0014558,Head가 Tail에게 지시함. (Commands)
E0044900,E0065230,Head가 Tail에게 지시함. (Commands)
E0065230,E0063081,Head가 Tail에게 보고함 (Reports to)
E0065230,E0045372,Head가 Tail에게 지시함. (Commands)
E0063081,E0021067,Head가 Tail에게 보고함 (Reports to)
E0063081,E0045372,Head가 Tail에게 보고함 (Reports to)
E0045372,E0063081,Head가 Tail에게 지시함. (Commands)
E0045372,E0063081,Head가 Tail에게 보고함 (Reports to)
E0045372,E0036420,Head가 Tail에게 지시함. (Commands)
E0036420,E0045372,Head가 Tail에게 지시함. (Commands)
E0065230,E0045372,Head가 Tail을 도와줌. (Helps)
E0065230,E0036420,Head가 Tail에게 지시함. (Commands)
E0065230,E0072599,Head가 Tail을 도와줌. (Helps)
E0065230,E0072599,Head가 Tail에게 지시함. (Commands)
E0045372,E0065230,Head가 Tail에게 지시함. (Commands)
E0045372,E0036420,Head가 Tail에게 지시함. (Commands)
E0045372,E0072599,Head가 Tail에게 지시함. (Commands)
E0036420,E0065230,Head가 Tail에게 지시함. (Commands)
E0036420,E0045372,Head가 Tail에게 지시함. (Commands)
E0036420,E0072599,Head가 Tail에게 지시함. (Commands)
E0072599,E0065230,Head가 Tail에게 지시함. (Commands)
E0072599,E0045372,Head가 Tail에게 지시함. (Commands)
E0072599,E0036420,Head가 Tail에게 지시함. (Commands)
E0044900,E0060811,Head가 Tail을 비난함. (Blames)
E0060811,E0044900,Head가 Tail을 비난함. (Blames)
E0054584,E0045372,Head가 Tail을 고발함. (Accuses)
E0054584,E0047742,Head가 Tail을 고발함. (Accuses)
E0047742,E0044017,Head가 Tail에게 지시함. (Commands)
E0044017,E0047742,Head가 Tail에게 지시함. (Commands)
E0050662,E0047742,Head가 Tail을 비난함. (Blames)
E0012878,E0028096,Head가 Tail에게 지시함. (Commands)
E0028096,E0012878,Head가 Tail에게 지시함. (Commands)
